fields pad,volledig pad
nationaliteiten.redenOpname.code,nationaliteiten.redenOpname.code
redenOpname.code,nationaliteiten.redenOpname.code
nationaliteiten.redenOpname.omschrijving,nationaliteiten.redenOpname.omschrijving
redenOpname.omschrijving,nationaliteiten.redenOpname.omschrijving
nationaliteiten.type,nationaliteiten.type
nationaliteiten.datumIngangGeldigheid,nationaliteiten.datumIngangGeldigheid
nationaliteiten.datumIngangGeldigheid.langFormaat,nationaliteiten.datumIngangGeldigheid.langFormaat
nationaliteiten.datumIngangGeldigheid.type,nationaliteiten.datumIngangGeldigheid.type
nationaliteiten.datumIngangGeldigheid.datum,nationaliteiten.datumIngangGeldigheid.datum
nationaliteiten.datumIngangGeldigheid.onbekend,nationaliteiten.datumIngangGeldigheid.onbekend
nationaliteiten.datumIngangGeldigheid.jaar,nationaliteiten.datumIngangGeldigheid.jaar
nationaliteiten.datumIngangGeldigheid.maand,nationaliteiten.datumIngangGeldigheid.maand
nationaliteiten.inOnderzoek,nationaliteiten.inOnderzoek
nationaliteiten.inOnderzoek.datumIngangOnderzoek,nationaliteiten.inOnderzoek.datumIngangOnderzoek
nationaliteiten.inOnderzoek.datumIngangOnderzoek.langFormaat,nationaliteiten.inOnderzoek.datumIngangOnderzoek.langFormaat
nationaliteiten.inOnderzoek.datumIngangOnderzoek.type,nationaliteiten.inOnderzoek.datumIngangOnderzoek.type
nationaliteiten.inOnderzoek.datumIngangOnderzoek.datum,nationaliteiten.inOnderzoek.datumIngangOnderzoek.datum
nationaliteiten.inOnderzoek.datumIngangOnderzoek.onbekend,nationaliteiten.inOnderzoek.datumIngangOnderzoek.onbekend
nationaliteiten.inOnderzoek.datumIngangOnderzoek.jaar,nationaliteiten.inOnderzoek.datumIngangOnderzoek.jaar
nationaliteiten.inOnderzoek.datumIngangOnderzoek.maand,nationaliteiten.inOnderzoek.datumIngangOnderzoek.maand
nationaliteiten.inOnderzoek.nationaliteit,nationaliteiten.inOnderzoek.nationaliteit
inOnderzoek.nationaliteit,nationaliteiten.inOnderzoek.nationaliteit
nationaliteiten.inOnderzoek.redenOpname,nationaliteiten.inOnderzoek.redenOpname
inOnderzoek.redenOpname,nationaliteiten.inOnderzoek.redenOpname
nationaliteiten.inOnderzoek.type,nationaliteiten.inOnderzoek.type
nationaliteiten.nationaliteit,nationaliteiten.nationaliteit
nationaliteit,nationaliteiten.nationaliteit
nationaliteiten.nationaliteit.code,nationaliteiten.nationaliteit.code
nationaliteit.code,nationaliteiten.nationaliteit.code
nationaliteiten.nationaliteit.omschrijving,nationaliteiten.nationaliteit.omschrijving
nationaliteit.omschrijving,nationaliteiten.nationaliteit.omschrijving
opschortingBijhouding,opschortingBijhouding
opschortingBijhouding.reden,opschortingBijhouding.reden
reden,opschortingBijhouding.reden
opschortingBijhouding.reden.code,opschortingBijhouding.reden.code
reden.code,opschortingBijhouding.reden.code
opschortingBijhouding.reden.omschrijving,opschortingBijhouding.reden.omschrijving
reden.omschrijving,opschortingBijhouding.reden.omschrijving
opschortingBijhouding.datum,opschortingBijhouding.datum
opschortingBijhouding.datum.langFormaat,opschortingBijhouding.datum.langFormaat
opschortingBijhouding.datum.type,opschortingBijhouding.datum.type
opschortingBijhouding.datum.datum,opschortingBijhouding.datum.datum
opschortingBijhouding.datum.onbekend,opschortingBijhouding.datum.onbekend
opschortingBijhouding.datum.jaar,opschortingBijhouding.datum.jaar
opschortingBijhouding.datum.maand,opschortingBijhouding.datum.maand
ouders,ouders
ouders.type,ouders.type
ouders.burgerservicenummer,ouders.burgerservicenummer
ouders.datumIngangFamilierechtelijkeBetrekking,ouders.datumIngangFamilierechtelijkeBetrekking
datumIngangFamilierechtelijkeBetrekking,ouders.datumIngangFamilierechtelijkeBetrekking
ouders.datumIngangFamilierechtelijkeBetrekking.langFormaat,ouders.datumIngangFamilierechtelijkeBetrekking.langFormaat
datumIngangFamilierechtelijkeBetrekking.langFormaat,ouders.datumIngangFamilierechtelijkeBetrekking.langFormaat
ouders.datumIngangFamilierechtelijkeBetrekking.type,ouders.datumIngangFamilierechtelijkeBetrekking.type
datumIngangFamilierechtelijkeBetrekking.type,ouders.datumIngangFamilierechtelijkeBetrekking.type
ouders.datumIngangFamilierechtelijkeBetrekking.datum,ouders.datumIngangFamilierechtelijkeBetrekking.datum
datumIngangFamilierechtelijkeBetrekking.datum,ouders.datumIngangFamilierechtelijkeBetrekking.datum
ouders.datumIngangFamilierechtelijkeBetrekking.onbekend,ouders.datumIngangFamilierechtelijkeBetrekking.onbekend
datumIngangFamilierechtelijkeBetrekking.onbekend,ouders.datumIngangFamilierechtelijkeBetrekking.onbekend
ouders.datumIngangFamilierechtelijkeBetrekking.jaar,ouders.datumIngangFamilierechtelijkeBetrekking.jaar
datumIngangFamilierechtelijkeBetrekking.jaar,ouders.datumIngangFamilierechtelijkeBetrekking.jaar
ouders.datumIngangFamilierechtelijkeBetrekking.maand,ouders.datumIngangFamilierechtelijkeBetrekking.maand
datumIngangFamilierechtelijkeBetrekking.maand,ouders.datumIngangFamilierechtelijkeBetrekking.maand
ouders.geboorte,ouders.geboorte
ouders.geboorte.datum,ouders.geboorte.datum
ouders.geboorte.datum.langFormaat,ouders.geboorte.datum.langFormaat
ouders.geboorte.datum.type,ouders.geboorte.datum.type
ouders.geboorte.datum.datum,ouders.geboorte.datum.datum
ouders.geboorte.datum.onbekend,ouders.geboorte.datum.onbekend
ouders.geboorte.datum.jaar,ouders.geboorte.datum.jaar
ouders.geboorte.datum.maand,ouders.geboorte.datum.maand
ouders.geboorte.inOnderzoek,ouders.geboorte.inOnderzoek
ouders.geboorte.inOnderzoek.datumIngangOnderzoek,ouders.geboorte.inOnderzoek.datumIngangOnderzoek
ouders.geboorte.inOnderzoek.datumIngangOnderzoek.langFormaat,ouders.geboorte.inOnderzoek.datumIngangOnderzoek.langFormaat
ouders.geboorte.inOnderzoek.datumIngangOnderzoek.type,ouders.geboorte.inOnderzoek.datumIngangOnderzoek.type
ouders.geboorte.inOnderzoek.datumIngangOnderzoek.datum,ouders.geboorte.inOnderzoek.datumIngangOnderzoek.datum
ouders.geboorte.inOnderzoek.datumIngangOnderzoek.onbekend,ouders.geboorte.inOnderzoek.datumIngangOnderzoek.onbekend
ouders.geboorte.inOnderzoek.datumIngangOnderzoek.jaar,ouders.geboorte.inOnderzoek.datumIngangOnderzoek.jaar
ouders.geboorte.inOnderzoek.datumIngangOnderzoek.maand,ouders.geboorte.inOnderzoek.datumIngangOnderzoek.maand
ouders.geboorte.inOnderzoek.datum,ouders.geboorte.inOnderzoek.datum
ouders.geboorte.inOnderzoek.land,ouders.geboorte.inOnderzoek.land
ouders.geboorte.inOnderzoek.plaats,ouders.geboorte.inOnderzoek.plaats
ouders.geboorte.land,ouders.geboorte.land
ouders.geboorte.land.code,ouders.geboorte.land.code
ouders.geboorte.land.omschrijving,ouders.geboorte.land.omschrijving
ouders.geboorte.plaats,ouders.geboorte.plaats
ouders.geboorte.plaats.code,ouders.geboorte.plaats.code
ouders.geboorte.plaats.omschrijving,ouders.geboorte.plaats.omschrijving
ouders.geslacht,ouders.geslacht
ouders.geslacht.code,ouders.geslacht.code
ouders.geslacht.omschrijving,ouders.geslacht.omschrijving
ouders.inOnderzoek,ouders.inOnderzoek
ouders.inOnderzoek.datumIngangOnderzoek,ouders.inOnderzoek.datumIngangOnderzoek
ouders.inOnderzoek.datumIngangOnderzoek.langFormaat,ouders.inOnderzoek.datumIngangOnderzoek.langFormaat
ouders.inOnderzoek.datumIngangOnderzoek.type,ouders.inOnderzoek.datumIngangOnderzoek.type
ouders.inOnderzoek.datumIngangOnderzoek.datum,ouders.inOnderzoek.datumIngangOnderzoek.datum
ouders.inOnderzoek.datumIngangOnderzoek.onbekend,ouders.inOnderzoek.datumIngangOnderzoek.onbekend
ouders.inOnderzoek.datumIngangOnderzoek.jaar,ouders.inOnderzoek.datumIngangOnderzoek.jaar
ouders.inOnderzoek.datumIngangOnderzoek.maand,ouders.inOnderzoek.datumIngangOnderzoek.maand
ouders.inOnderzoek.burgerservicenummer,ouders.inOnderzoek.burgerservicenummer
ouders.inOnderzoek.datumIngangFamilierechtelijkeBetrekking,ouders.inOnderzoek.datumIngangFamilierechtelijkeBetrekking
inOnderzoek.datumIngangFamilierechtelijkeBetrekking,ouders.inOnderzoek.datumIngangFamilierechtelijkeBetrekking
ouders.inOnderzoek.geslacht,ouders.inOnderzoek.geslacht
ouders.naam,ouders.naam
ouders.naam.adellijkeTitelPredicaat,ouders.naam.adellijkeTitelPredicaat
ouders.naam.adellijkeTitelPredicaat.code,ouders.naam.adellijkeTitelPredicaat.code
ouders.naam.adellijkeTitelPredicaat.omschrijving,ouders.naam.adellijkeTitelPredicaat.omschrijving
ouders.naam.adellijkeTitelPredicaat.soort,ouders.naam.adellijkeTitelPredicaat.soort
ouders.naam.geslachtsnaam,ouders.naam.geslachtsnaam
ouders.naam.inOnderzoek,ouders.naam.inOnderzoek
ouders.naam.inOnderzoek.datumIngangOnderzoek,ouders.naam.inOnderzoek.datumIngangOnderzoek
ouders.naam.inOnderzoek.datumIngangOnderzoek.langFormaat,ouders.naam.inOnderzoek.datumIngangOnderzoek.langFormaat
ouders.naam.inOnderzoek.datumIngangOnderzoek.type,ouders.naam.inOnderzoek.datumIngangOnderzoek.type
ouders.naam.inOnderzoek.datumIngangOnderzoek.datum,ouders.naam.inOnderzoek.datumIngangOnderzoek.datum
ouders.naam.inOnderzoek.datumIngangOnderzoek.onbekend,ouders.naam.inOnderzoek.datumIngangOnderzoek.onbekend
ouders.naam.inOnderzoek.datumIngangOnderzoek.jaar,ouders.naam.inOnderzoek.datumIngangOnderzoek.jaar
ouders.naam.inOnderzoek.datumIngangOnderzoek.maand,ouders.naam.inOnderzoek.datumIngangOnderzoek.maand
ouders.naam.inOnderzoek.adellijkeTitelPredicaat,ouders.naam.inOnderzoek.adellijkeTitelPredicaat
ouders.naam.inOnderzoek.geslachtsnaam,ouders.naam.inOnderzoek.geslachtsnaam
ouders.naam.inOnderzoek.voorletters,ouders.naam.inOnderzoek.voorletters
ouders.naam.inOnderzoek.voornamen,ouders.naam.inOnderzoek.voornamen
ouders.naam.inOnderzoek.voorvoegsel,ouders.naam.inOnderzoek.voorvoegsel
ouders.naam.voorletters,ouders.naam.voorletters
ouders.naam.voornamen,ouders.naam.voornamen
ouders.naam.voorvoegsel,ouders.naam.voorvoegsel
ouders.ouderAanduiding,ouders.ouderAanduiding
ouderAanduiding,ouders.ouderAanduiding
ouders.indicatieOnbekend,ouders.indicatieOnbekend
overlijden,overlijden
overlijden.indicatieOverleden,overlijden.indicatieOverleden
indicatieOverleden,overlijden.indicatieOverleden
overlijden.datum,overlijden.datum
overlijden.datum.langFormaat,overlijden.datum.langFormaat
overlijden.datum.type,overlijden.datum.type
overlijden.datum.datum,overlijden.datum.datum
overlijden.datum.onbekend,overlijden.datum.onbekend
overlijden.datum.jaar,overlijden.datum.jaar
overlijden.datum.maand,overlijden.datum.maand
overlijden.inOnderzoek,overlijden.inOnderzoek
overlijden.inOnderzoek.datumIngangOnderzoek,overlijden.inOnderzoek.datumIngangOnderzoek
overlijden.inOnderzoek.datumIngangOnderzoek.langFormaat,overlijden.inOnderzoek.datumIngangOnderzoek.langFormaat
overlijden.inOnderzoek.datumIngangOnderzoek.type,overlijden.inOnderzoek.datumIngangOnderzoek.type
overlijden.inOnderzoek.datumIngangOnderzoek.datum,overlijden.inOnderzoek.datumIngangOnderzoek.datum
overlijden.inOnderzoek.datumIngangOnderzoek.onbekend,overlijden.inOnderzoek.datumIngangOnderzoek.onbekend
overlijden.inOnderzoek.datumIngangOnderzoek.jaar,overlijden.inOnderzoek.datumIngangOnderzoek.jaar
overlijden.inOnderzoek.datumIngangOnderzoek.maand,overlijden.inOnderzoek.datumIngangOnderzoek.maand
overlijden.inOnderzoek.datum,overlijden.inOnderzoek.datum
overlijden.inOnderzoek.indicatieOverleden,overlijden.inOnderzoek.indicatieOverleden
inOnderzoek.indicatieOverleden,overlijden.inOnderzoek.indicatieOverleden
overlijden.inOnderzoek.land,overlijden.inOnderzoek.land
overlijden.inOnderzoek.plaats,overlijden.inOnderzoek.plaats
overlijden.land,overlijden.land
overlijden.land.code,overlijden.land.code
overlijden.land.omschrijving,overlijden.land.omschrijving
overlijden.plaats,overlijden.plaats
overlijden.plaats.code,overlijden.plaats.code
overlijden.plaats.omschrijving,overlijden.plaats.omschrijving
partners,partners
partners.type,partners.type
partners.aangaanHuwelijkPartnerschap,partners.aangaanHuwelijkPartnerschap
aangaanHuwelijkPartnerschap,partners.aangaanHuwelijkPartnerschap
partners.aangaanHuwelijkPartnerschap.datum,partners.aangaanHuwelijkPartnerschap.datum
aangaanHuwelijkPartnerschap.datum,partners.aangaanHuwelijkPartnerschap.datum
partners.aangaanHuwelijkPartnerschap.datum.langFormaat,partners.aangaanHuwelijkPartnerschap.datum.langFormaat
aangaanHuwelijkPartnerschap.datum.langFormaat,partners.aangaanHuwelijkPartnerschap.datum.langFormaat
partners.aangaanHuwelijkPartnerschap.datum.type,partners.aangaanHuwelijkPartnerschap.datum.type
aangaanHuwelijkPartnerschap.datum.type,partners.aangaanHuwelijkPartnerschap.datum.type
partners.aangaanHuwelijkPartnerschap.datum.datum,partners.aangaanHuwelijkPartnerschap.datum.datum
aangaanHuwelijkPartnerschap.datum.datum,partners.aangaanHuwelijkPartnerschap.datum.datum
partners.aangaanHuwelijkPartnerschap.datum.onbekend,partners.aangaanHuwelijkPartnerschap.datum.onbekend
aangaanHuwelijkPartnerschap.datum.onbekend,partners.aangaanHuwelijkPartnerschap.datum.onbekend
partners.aangaanHuwelijkPartnerschap.datum.jaar,partners.aangaanHuwelijkPartnerschap.datum.jaar
aangaanHuwelijkPartnerschap.datum.jaar,partners.aangaanHuwelijkPartnerschap.datum.jaar
partners.aangaanHuwelijkPartnerschap.datum.maand,partners.aangaanHuwelijkPartnerschap.datum.maand
aangaanHuwelijkPartnerschap.datum.maand,partners.aangaanHuwelijkPartnerschap.datum.maand
partners.aangaanHuwelijkPartnerschap.inOnderzoek,partners.aangaanHuwelijkPartnerschap.inOnderzoek
aangaanHuwelijkPartnerschap.inOnderzoek,partners.aangaanHuwelijkPartnerschap.inOnderzoek
partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek
aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek
partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.langFormaat,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.langFormaat
aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.langFormaat,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.langFormaat
partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.type,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.type
aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.type,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.type
partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.datum,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.datum
aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.datum,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.datum
partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.onbekend,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.onbekend
aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.onbekend,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.onbekend
partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.jaar,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.jaar
aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.jaar,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.jaar
partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.maand,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.maand
aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.maand,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datumIngangOnderzoek.maand
partners.aangaanHuwelijkPartnerschap.inOnderzoek.datum,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datum
aangaanHuwelijkPartnerschap.inOnderzoek.datum,partners.aangaanHuwelijkPartnerschap.inOnderzoek.datum
partners.aangaanHuwelijkPartnerschap.inOnderzoek.land,partners.aangaanHuwelijkPartnerschap.inOnderzoek.land
aangaanHuwelijkPartnerschap.inOnderzoek.land,partners.aangaanHuwelijkPartnerschap.inOnderzoek.land
partners.aangaanHuwelijkPartnerschap.inOnderzoek.plaats,partners.aangaanHuwelijkPartnerschap.inOnderzoek.plaats
aangaanHuwelijkPartnerschap.inOnderzoek.plaats,partners.aangaanHuwelijkPartnerschap.inOnderzoek.plaats
partners.aangaanHuwelijkPartnerschap.land,partners.aangaanHuwelijkPartnerschap.land
aangaanHuwelijkPartnerschap.land,partners.aangaanHuwelijkPartnerschap.land
partners.aangaanHuwelijkPartnerschap.land.code,partners.aangaanHuwelijkPartnerschap.land.code
aangaanHuwelijkPartnerschap.land.code,partners.aangaanHuwelijkPartnerschap.land.code
partners.aangaanHuwelijkPartnerschap.land.omschrijving,partners.aangaanHuwelijkPartnerschap.land.omschrijving
aangaanHuwelijkPartnerschap.land.omschrijving,partners.aangaanHuwelijkPartnerschap.land.omschrijving
partners.aangaanHuwelijkPartnerschap.plaats,partners.aangaanHuwelijkPartnerschap.plaats
aangaanHuwelijkPartnerschap.plaats,partners.aangaanHuwelijkPartnerschap.plaats
partners.aangaanHuwelijkPartnerschap.plaats.code,partners.aangaanHuwelijkPartnerschap.plaats.code
aangaanHuwelijkPartnerschap.plaats.code,partners.aangaanHuwelijkPartnerschap.plaats.code
partners.aangaanHuwelijkPartnerschap.plaats.omschrijving,partners.aangaanHuwelijkPartnerschap.plaats.omschrijving
aangaanHuwelijkPartnerschap.plaats.omschrijving,partners.aangaanHuwelijkPartnerschap.plaats.omschrijving
partners.burgerservicenummer,partners.burgerservicenummer
partners.geboorte,partners.geboorte
partners.geboorte.datum,partners.geboorte.datum
partners.geboorte.datum.langFormaat,partners.geboorte.datum.langFormaat
partners.geboorte.datum.type,partners.geboorte.datum.type
partners.geboorte.datum.datum,partners.geboorte.datum.datum
partners.geboorte.datum.onbekend,partners.geboorte.datum.onbekend
partners.geboorte.datum.jaar,partners.geboorte.datum.jaar
partners.geboorte.datum.maand,partners.geboorte.datum.maand
partners.geboorte.inOnderzoek,partners.geboorte.inOnderzoek
partners.geboorte.inOnderzoek.datumIngangOnderzoek,partners.geboorte.inOnderzoek.datumIngangOnderzoek
partners.geboorte.inOnderzoek.datumIngangOnderzoek.langFormaat,partners.geboorte.inOnderzoek.datumIngangOnderzoek.langFormaat
partners.geboorte.inOnderzoek.datumIngangOnderzoek.type,partners.geboorte.inOnderzoek.datumIngangOnderzoek.type
partners.geboorte.inOnderzoek.datumIngangOnderzoek.datum,partners.geboorte.inOnderzoek.datumIngangOnderzoek.datum
partners.geboorte.inOnderzoek.datumIngangOnderzoek.onbekend,partners.geboorte.inOnderzoek.datumIngangOnderzoek.onbekend
partners.geboorte.inOnderzoek.datumIngangOnderzoek.jaar,partners.geboorte.inOnderzoek.datumIngangOnderzoek.jaar
partners.geboorte.inOnderzoek.datumIngangOnderzoek.maand,partners.geboorte.inOnderzoek.datumIngangOnderzoek.maand
partners.geboorte.inOnderzoek.datum,partners.geboorte.inOnderzoek.datum
partners.geboorte.inOnderzoek.land,partners.geboorte.inOnderzoek.land
partners.geboorte.inOnderzoek.plaats,partners.geboorte.inOnderzoek.plaats
partners.geboorte.land,partners.geboorte.land
partners.geboorte.land.code,partners.geboorte.land.code
partners.geboorte.land.omschrijving,partners.geboorte.land.omschrijving
partners.geboorte.plaats,partners.geboorte.plaats
partners.geboorte.plaats.code,partners.geboorte.plaats.code
partners.geboorte.plaats.omschrijving,partners.geboorte.plaats.omschrijving
partners.geslacht,partners.geslacht
partners.geslacht.code,partners.geslacht.code
partners.geslacht.omschrijving,partners.geslacht.omschrijving
partners.inOnderzoek,partners.inOnderzoek
partners.inOnderzoek.datumIngangOnderzoek,partners.inOnderzoek.datumIngangOnderzoek
partners.inOnderzoek.datumIngangOnderzoek.langFormaat,partners.inOnderzoek.datumIngangOnderzoek.langFormaat
partners.inOnderzoek.datumIngangOnderzoek.type,partners.inOnderzoek.datumIngangOnderzoek.type
partners.inOnderzoek.datumIngangOnderzoek.datum,partners.inOnderzoek.datumIngangOnderzoek.datum
partners.inOnderzoek.datumIngangOnderzoek.onbekend,partners.inOnderzoek.datumIngangOnderzoek.onbekend
partners.inOnderzoek.datumIngangOnderzoek.jaar,partners.inOnderzoek.datumIngangOnderzoek.jaar
partners.inOnderzoek.datumIngangOnderzoek.maand,partners.inOnderzoek.datumIngangOnderzoek.maand
partners.inOnderzoek.burgerservicenummer,partners.inOnderzoek.burgerservicenummer
partners.inOnderzoek.geslacht,partners.inOnderzoek.geslacht
partners.inOnderzoek.soortVerbintenis,partners.inOnderzoek.soortVerbintenis
inOnderzoek.soortVerbintenis,partners.inOnderzoek.soortVerbintenis
partners.naam,partners.naam
partners.naam.adellijkeTitelPredicaat,partners.naam.adellijkeTitelPredicaat
partners.naam.adellijkeTitelPredicaat.code,partners.naam.adellijkeTitelPredicaat.code
partners.naam.adellijkeTitelPredicaat.omschrijving,partners.naam.adellijkeTitelPredicaat.omschrijving
partners.naam.adellijkeTitelPredicaat.soort,partners.naam.adellijkeTitelPredicaat.soort
partners.naam.geslachtsnaam,partners.naam.geslachtsnaam
partners.naam.inOnderzoek,partners.naam.inOnderzoek
partners.naam.inOnderzoek.datumIngangOnderzoek,partners.naam.inOnderzoek.datumIngangOnderzoek
partners.naam.inOnderzoek.datumIngangOnderzoek.langFormaat,partners.naam.inOnderzoek.datumIngangOnderzoek.langFormaat
partners.naam.inOnderzoek.datumIngangOnderzoek.type,partners.naam.inOnderzoek.datumIngangOnderzoek.type
partners.naam.inOnderzoek.datumIngangOnderzoek.datum,partners.naam.inOnderzoek.datumIngangOnderzoek.datum
partners.naam.inOnderzoek.datumIngangOnderzoek.onbekend,partners.naam.inOnderzoek.datumIngangOnderzoek.onbekend
partners.naam.inOnderzoek.datumIngangOnderzoek.jaar,partners.naam.inOnderzoek.datumIngangOnderzoek.jaar
partners.naam.inOnderzoek.datumIngangOnderzoek.maand,partners.naam.inOnderzoek.datumIngangOnderzoek.maand
partners.naam.inOnderzoek.adellijkeTitelPredicaat,partners.naam.inOnderzoek.adellijkeTitelPredicaat
partners.naam.inOnderzoek.geslachtsnaam,partners.naam.inOnderzoek.geslachtsnaam
partners.naam.inOnderzoek.voorletters,partners.naam.inOnderzoek.voorletters
partners.naam.inOnderzoek.voornamen,partners.naam.inOnderzoek.voornamen
partners.naam.inOnderzoek.voorvoegsel,partners.naam.inOnderzoek.voorvoegsel
